date,LSOI
1963Q1,113.071
1963Q2,112.738
1963Q3,111.191
1963Q4,111.846
1964Q1,110.518
1964Q2,110.812
1964Q3,110.589
1964Q4,112.116
1965Q1,110.624
1965Q2,110.69
1965Q3,109.183
1965Q4,108.519
1966Q1,108.609
1966Q2,109.958
1966Q3,110.34
1966Q4,109.866
1967Q1,109.937
1967Q2,110.685
1967Q3,110.659
1967Q4,110.784
1968Q1,110.125
1968Q2,109.682
1968Q3,110.716
1968Q4,111.648
1969Q1,110.962
1969Q2,112.424
1969Q3,113.187
1969Q4,114.771
1970Q1,115.245
1970Q2,113.7
1970Q3,113.18
1970Q4,113.699
1971Q1,111.541
1971Q2,111.502
1971Q3,110.939
1971Q4,112.253
1972Q1,112.234
1972Q2,110.916
1972Q3,111.069
1972Q4,111.527
1973Q1,111.289
1973Q2,111.56
1973Q3,113.108
1973Q4,113.45
1974Q1,113.742
1974Q2,112.917
1974Q3,113.927
1974Q4,112.602
1975Q1,111.474
1975Q2,110.375
1975Q3,109.301
1975Q4,109.402
1976Q1,108.64
1976Q2,108.462
1976Q3,108.961
1976Q4,108.957
1977Q1,108.784
1977Q2,108.779
1977Q3,108.324
1977Q4,109.712
1978Q1,111.254
1978Q2,108.998
1978Q3,108.946
1978Q4,108.758
1979Q1,110.772
1979Q2,110.435
1979Q3,110.708
1979Q4,111.472
1980Q1,111.222
1980Q2,112.24
1980Q3,112.849
1980Q4,112.24
1981Q1,109.901
1981Q2,111.008
1981Q3,110.118
1981Q4,111.09
1982Q1,113.136
1982Q2,112.536
1982Q3,112.698
1982Q4,112.145
1983Q1,111.36
1983Q2,109.523
1983Q3,108.027
1983Q4,108.1
1984Q1,108.616
1984Q2,108.167
1984Q3,108.352
1984Q4,108.545
1985Q1,108.367
1985Q2,108.403
1985Q3,107.834
1985Q4,109.192
1986Q1,108.895
1986Q2,109.212
1986Q3,109.951
1986Q4,111.226
1987Q1,111.588
1987Q2,111.035
1987Q3,111.278
1987Q4,111.148
1988Q1,111.922
1988Q2,111.969
1988Q3,111.745
1988Q4,111.038
1989Q1,110.723
1989Q2,109.476
1989Q3,109.166
1989Q4,110.149
1990Q1,110.182
1990Q2,110.469
1990Q3,110.63
1990Q4,111.612
1991Q1,110.902
1991Q2,110.641
1991Q3,110.286
1991Q4,110.855
1992Q1,111.299
1992Q2,110.934
1992Q3,110.668
1992Q4,109.765
1993Q1,109.14
1993Q2,109.978
1993Q3,109.225
1993Q4,108.995
1994Q1,107.68
1994Q2,107.99
1994Q3,107.897
1994Q4,107.054
1995Q1,107.167
1995Q2,107.095
1995Q3,107.337
1995Q4,107.354
1996Q1,107.509
1996Q2,107.042
1996Q3,107.093
1996Q4,107.067
1997Q1,107.891
1997Q2,106.938
1997Q3,106.75
1997Q4,107.9
1998Q1,109.022
1998Q2,109.741
1998Q3,109.707
1998Q4,109.538
1999Q1,109.9
1999Q2,109.622
1999Q3,109.221
1999Q4,109.265
2000Q1,112.828
2000Q2,110.474
2000Q3,112.022
2000Q4,111.152
2001Q1,113.626
2001Q2,111.694
2001Q3,111.072
2001Q4,110.498
2002Q1,108.748
2002Q2,109.038
2002Q3,108.494
2002Q4,108.462
2003Q1,107.592
2003Q2,107.826
2003Q3,106.741
2003Q4,106.879
2004Q1,105.993
2004Q2,106.388
2004Q3,107.155
2004Q4,106.095
2005Q1,104.707
2005Q2,104.688
2005Q3,104.315
2005Q4,103.981
2006Q1,104.602
2006Q2,103.952
2006Q3,103.933
2006Q4,104.823
2007Q1,106.073
2007Q2,104.952
2007Q3,104.096
2007Q4,104.334
2008Q1,105.77
2008Q2,104.3
2008Q3,104.231
2008Q4,106.13
2009Q1,102.041
2009Q2,102.951
2009Q3,102.03
2009Q4,100.997
2010Q1,99.433
2010Q2,99.828
2010Q3,99.616
2010Q4,99.121
2011Q1,101.255
2011Q2,99.687
2011Q3,100.104
2011Q4,97.84
2012Q1,99.258
2012Q2,98.803
2012Q3,98.591
2012Q4,101.167
2013Q1,98.992
2013Q2,99.71
2013Q3,98.29
2013Q4,97.562
2014Q1,99.981
2014Q2,98.313
2014Q3,97.572
2014Q4,99.037
2015Q1,99.693
2015Q2,99.533
2015Q3,99.681
2015Q4,100.174
2016Q1,99.909
2016Q2,99.458
2016Q3,99.306
2016Q4,99.274
2017Q1,99.721
2017Q2,100.101
2017Q3,100.062
2017Q4,100.127
2018Q1,99.831
2018Q2,99.597
