date,R
1963Q1,0
1963Q2,0
1963Q3,0
1963Q4,0
1964Q1,0
1964Q2,0
1964Q3,0
1964Q4,0
1965Q1,0
1965Q2,0
1965Q3,0
1965Q4,0
1966Q1,0
1966Q2,0
1966Q3,0
1966Q4,0
1967Q1,0
1967Q2,0
1967Q3,0
1967Q4,0
1968Q1,0
1968Q2,0
1968Q3,0
1968Q4,0
1969Q1,0
1969Q2,0
1969Q3,0
1969Q4,1
1970Q1,1
1970Q2,1
1970Q3,1
1970Q4,0
1971Q1,0
1971Q2,0
1971Q3,0
1971Q4,0
1972Q1,0
1972Q2,0
1972Q3,0
1972Q4,0
1973Q1,0
1973Q2,0
1973Q3,0
1973Q4,1
1974Q1,1
1974Q2,1
1974Q3,1
1974Q4,1
1975Q1,0
1975Q2,0
1975Q3,0
1975Q4,0
1976Q1,0
1976Q2,0
1976Q3,0
1976Q4,0
1977Q1,0
1977Q2,0
1977Q3,0
1977Q4,0
1978Q1,0
1978Q2,0
1978Q3,0
1978Q4,0
1979Q1,0
1979Q2,0
1979Q3,0
1979Q4,0
1980Q1,1
1980Q2,1
1980Q3,0
1980Q4,0
1981Q1,0
1981Q2,0
1981Q3,1
1981Q4,1
1982Q1,1
1982Q2,1
1982Q3,1
1982Q4,0
1983Q1,0
1983Q2,0
1983Q3,0
1983Q4,0
1984Q1,0
1984Q2,0
1984Q3,0
1984Q4,0
1985Q1,0
1985Q2,0
1985Q3,0
1985Q4,0
1986Q1,0
1986Q2,0
1986Q3,0
1986Q4,0
1987Q1,0
1987Q2,0
1987Q3,0
1987Q4,0
1988Q1,0
1988Q2,0
1988Q3,0
1988Q4,0
1989Q1,0
1989Q2,0
1989Q3,0
1989Q4,0
1990Q1,0
1990Q2,0
1990Q3,1
1990Q4,1
1991Q1,0
1991Q2,0
1991Q3,0
1991Q4,0
1992Q1,0
1992Q2,0
1992Q3,0
1992Q4,0
1993Q1,0
1993Q2,0
1993Q3,0
1993Q4,0
1994Q1,0
1994Q2,0
1994Q3,0
1994Q4,0
1995Q1,0
1995Q2,0
1995Q3,0
1995Q4,0
1996Q1,0
1996Q2,0
1996Q3,0
1996Q4,0
1997Q1,0
1997Q2,0
1997Q3,0
1997Q4,0
1998Q1,0
1998Q2,0
1998Q3,0
1998Q4,0
1999Q1,0
1999Q2,0
1999Q3,0
1999Q4,0
2000Q1,0
2000Q2,0
2000Q3,0
2000Q4,0
2001Q1,1
2001Q2,1
2001Q3,1
2001Q4,0
2002Q1,0
2002Q2,0
2002Q3,0
2002Q4,0
2003Q1,0
2003Q2,0
2003Q3,0
2003Q4,0
2004Q1,0
2004Q2,0
2004Q3,0
2004Q4,0
2005Q1,0
2005Q2,0
2005Q3,0
2005Q4,0
2006Q1,0
2006Q2,0
2006Q3,0
2006Q4,0
2007Q1,0
2007Q2,0
2007Q3,0
2007Q4,1
2008Q1,1
2008Q2,1
2008Q3,1
2008Q4,1
2009Q1,1
2009Q2,0
2009Q3,0
2009Q4,0
2010Q1,0
2010Q2,0
2010Q3,0
2010Q4,0
2011Q1,0
2011Q2,0
2011Q3,0
2011Q4,0
2012Q1,0
2012Q2,0
2012Q3,0
2012Q4,0
2013Q1,0
2013Q2,0
2013Q3,0
2013Q4,0
2014Q1,0
2014Q2,0
2014Q3,0
2014Q4,0
2015Q1,0
2015Q2,0
2015Q3,0
2015Q4,0
2016Q1,0
2016Q2,0
2016Q3,0
2016Q4,0
2017Q1,0
2017Q2,0
2017Q3,0
2017Q4,0
2018Q1,0
2018Q2,0
