,R,CGDP,CPIR,INVR,HP,IR,ROP,IROR,LSOI,RGDP,RGDP,MA,TOBQ
1963Q1,0.0,81.6,0.3181917928461786,,,2.591808207153821,4.692,,113.071,3893.482,,54.7,0.7441
1963Q2,0.0,83.1,0.1859345947719415,3.323249198537037,,2.7540654052280584,4.776,7.495384678010369e-05,112.738,3937.183,1.122414332466426,58.2,0.7719
1963Q3,0.0,83.6,0.6113537117903967,2.956343136826467,,2.678646288209604,4.871,2.9879362760213185e-05,111.191,4023.755,2.198830991599832,56.9,0.7939
1963Q4,0.0,84.8,0.271267361111116,3.036991447186921,,3.228732638888884,4.973,1.3942087015166106e-05,111.846,4050.147,0.6559047456915268,54.0,0.7568
1964Q1,0.0,84.3,0.4112109079104087,2.212152420185376,,3.118789092089591,5.116,6.900421922738499e-05,110.518,4135.553,2.108713584963695,60.2,0.7939
1964Q2,0.0,85.2,0.1616553507921114,2.7748669998387987,,3.3183446492078885,5.234,6.199123258821883e-06,110.812,4180.592,1.089068378521563,60.1,0.8064
1964Q3,0.0,85.3,0.2259522272433756,3.288170820180003,,3.2740477727566244,5.357,2.100855048443472e-05,110.589,4245.918,1.5626016602433346,63.3,0.8241
1964Q4,0.0,86.4,0.4616210413311838,2.6804358555753804,,3.2183789586688163,5.491,-1.1520523806083557e-05,112.116,4259.046,0.3091910865918867,62.4,0.8468
1965Q1,0.0,86.3,0.3098952767685459,6.675910519504535,,3.5801047232314542,5.652,0.0001381100059496,110.624,4362.111,2.4199081202691763,64.9,0.8556
1965Q2,0.0,87.3,0.639181847235526,4.232162354205293,,3.230818152764474,5.835,2.8802542678512367e-05,110.69,4417.225,1.263470828688229,58.7,0.8129
1965Q3,0.0,87.3,0.2963903884831254,4.442744791580067,,3.5736096115168747,6.057,1.808057372872666e-05,109.183,4515.427,2.2231604683935924,61.0,0.8733
1965Q4,0.0,87.5,0.5277044854881341,5.2805858473294665,,3.642295514511866,6.321,5.8080742684019535e-05,108.519,4619.458,2.303901712949852,62.8,0.9061
1966Q1,0.0,86.8,0.9343832020997088,4.96582592390975,,3.6756167979002914,6.704,4.788730247891615e-05,108.609,4731.888,2.433835311415322,65.7,0.8692
1966Q2,0.0,87.5,0.9049303099646576,3.166416964388618,,3.685069690035342,7.018,-1.8404589174438744e-05,109.958,4748.046,0.3414704659112866,59.0,0.8099
1966Q3,0.0,86.8,0.8658901144211972,1.977267014829498,,4.174109885578803,7.342,-3.213102459341885e-05,110.34,4788.254,0.8468325707038149,58.7,0.7189
1966Q4,0.0,86.9,0.8175779253960069,0.9639874024373496,,4.392422074603993,7.674,8.554672013154953e-06,109.866,4827.537,0.8204034288907813,52.4,0.7401
1967Q1,0.0,86.5,0.253421186011149,-1.1677109610220504,,4.256578813988851,8.127,-3.647631521222519e-05,109.937,4870.299,0.8857933144789998,45.3,0.8325
1967Q2,0.0,87.5,0.6066734074822833,0.3842300989392422,,3.053326592517717,8.449,-1.7127149529924095e-05,110.685,4873.287,0.0613514693861727,46.8,0.8399
1967Q3,0.0,87.7,1.005025125628145,0.585075116536582,,3.2949748743718548,8.759,-1.5407849710039998e-06,110.659,4919.392,0.94607602630421,54.9,0.8706
1967Q4,0.0,89.9,1.0945273631840724,3.1162936084043524,,3.655472636815928,9.041,3.407375934751774e-05,110.784,4956.477,0.7538533217112953,55.6,0.8949
1968Q1,0.0,88.3,0.984251968503913,3.845849698183823,,4.065748031496087,9.391,-5.944137725857228e-06,110.125,5057.553,2.0392710386833324,53.8,0.8053
1968Q2,0.0,88.9,0.974658869395717,-0.248756218905477,,4.545341130604283,9.794,3.5078319881881365e-05,109.682,5142.033,1.6703730044944851,53.5,0.8827
1968Q3,0.0,88.5,1.3513513513513598,2.1934958522062287,,3.84864864864864,10.352,-2.5625084004320592e-06,110.716,5181.859,0.7745185610438465,51.8,0.8658
1968Q4,0.0,89.3,1.238095238095238,4.13969123505975,,4.351904761904762,11.055,8.339651657771397e-06,111.648,5202.212,0.3927740990250727,56.1,0.9784
1969Q1,0.0,88.3,1.2229539040451654,3.275748699862513,,4.8670460959548345,11.951,-2.0573329789141906e-05,110.962,5283.597,1.5644306691076748,57.1,0.9094
1969Q2,0.0,89.4,1.579925650557601,1.967934247843961,,4.620074349442399,12.928,-3.740519846908088e-05,112.424,5299.625,0.3033539461847701,55.5,0.8576
1969Q3,0.0,89.2,1.3723696248856276,3.32179145143896,,5.647630375114372,14.034,-3.8738809365917454e-05,113.187,5334.6,0.6599523551194642,54.1,0.8053
1969Q4,1.0,90.0,1.534296028880866,0.6878289437540541,,5.815703971119134,15.261,-6.211810175029851e-05,114.771,5308.556,-0.488209050350552,52.0,0.7461
1970Q1,1.0,89.2,1.6000000000000014,0.4201359712779684,,5.609999999999999,16.667,-8.628653633767082e-05,115.245,5300.652,-0.1488917136788115,46.9,0.7015
1970Q2,1.0,90.2,1.3998250218722583,0.8356697311512562,0.732548824569168,5.280174978127741,17.678,3.510039937907277e-05,113.7,5308.164,0.141718415017622,51.1,0.5442
1970Q3,1.0,90.6,1.035375323554777,0.7123535687728388,1.561011847955296,5.294624676445223,18.358,-1.6431210735006538e-05,113.18,5357.077,0.9214673849564649,44.1,0.6296
1970Q4,0.0,91.4,1.451750640478222,-2.557462654624832,1.263789139447713,3.8982493595217775,18.701,-6.41035800206479e-05,113.699,5299.672,-1.0715731732062197,45.4,0.6842
1971Q1,0.0,90.9,0.8417508417508213,1.699940699743041,2.694829073432592,2.9982491582491786,18.799,0.000126052570714,111.541,5443.619,2.716149225838893,51.2,0.7342
1971Q2,0.0,91.8,0.9181969949916712,2.201706079257093,2.6751179158618577,3.3318030050083287,18.849,5.686339686841046e-07,111.502,5473.059,0.5408166883097643,53.8,0.7203
1971Q3,0.0,92.1,0.9925558312654958,1.2403723230039354,1.0805990359583628,4.017444168734504,18.937,7.802701054660607e-06,110.939,5518.072,0.8224468254407702,55.1,0.6915
1971Q4,0.0,92.5,0.7371007371007376,2.880310572618261,2.378419249233588,3.492899262899263,19.075,3.384431844540505e-05,112.253,5531.032,0.234864641128274,57.6,0.7304
1972Q1,0.0,92.5,0.8130081300813163,4.908554213201066,0.2992953375711593,2.626991869918684,19.321,3.16201928823187e-05,112.234,5632.649,1.8372159119672384,59.8,0.7495
1972Q2,0.0,93.7,0.6451612903225712,2.5826226528204765,2.8023338261222275,3.124838709677429,19.651,8.83344371896453e-06,110.916,5760.47,2.2692875057543915,58.6,0.7365
1972Q3,0.0,93.9,0.8012820512820484,2.0387772991620645,1.9676917918951544,3.4187179487179518,20.137,3.752645446494692e-05,111.069,5814.854,0.9440896315751957,65.1,0.7377
1972Q4,0.0,94.6,1.0333863275039823,5.0131170558675775,2.162220935975645,3.826613672496018,20.794,5.35930505030591e-05,111.527,5912.22,1.6744358499800605,70.5,0.8282
1973Q1,0.0,94.8,1.5735641227379915,4.367407615914432,4.323769635293129,4.126435877262009,21.767,4.053747253457229e-05,111.289,6058.544,2.47494173085574,69.6,0.7563
1973Q2,0.0,95.8,2.091402013942689,4.861438878025748,2.377056878242101,4.50859798605731,22.89,-4.246069798975056e-05,111.56,6124.506,1.0887434340660196,65.0,0.6832
1973Q3,0.0,96.2,1.9726858877086475,3.236721965020584,2.533832726183416,6.347314112291353,24.299,-1.3729176406669688e-05,113.108,6092.301,-0.5258383288382795,63.5,0.6993
1973Q4,1.0,96.3,2.529761904761907,2.53108382706726,2.0988195479026306,4.970238095238093,25.977,8.36919526619123e-06,113.45,6150.131,0.949230840695492,63.6,0.5754
1974Q1,1.0,96.3,2.9753265602321832,2.710070314516977,2.4205033909588725,4.644673439767817,28.051,-5.7869704132023485e-05,113.742,6097.258,-0.8597052648146919,61.8,0.5363
1974Q2,1.0,97.9,2.6779422128259567,3.540509969466888,1.9266946246578431,5.472057787174044,29.661,-1.26780153261285e-05,112.917,6111.751,0.2376970106890752,54.7,0.472
1974Q3,1.0,98.4,2.8140013726836166,3.146688372890072,2.6296354209585093,5.375998627316383,30.948,-4.64857732218977e-05,113.927,6053.978,-0.9452773845007756,46.2,0.3325
1974Q4,1.0,98.6,3.0707610146862407,1.3180210301884987,0.6176640032689473,4.28923898531376,31.907,-3.356611361177019e-05,112.602,6030.464,-0.3884057722046585,30.9,0.3108
1975Q1,0.0,97.2,2.1373056994818507,-2.944050067298432,2.621212450857069,3.612694300518149,32.614,-9.579099165204667e-06,111.474,5957.035,-1.2176343312886084,31.6,0.3988
1975Q2,0.0,96.9,1.2048192771084263,-0.3378996719557325,2.809660858630325,4.185180722891573,32.758,7.941100542256737e-05,110.375,5999.61,0.7147011894339972,45.1,0.447
1975Q3,0.0,96.2,2.005012531328343,2.154350375068858,1.7703956032396828,4.324987468671657,32.432,0.0001232871413987,109.301,6102.326,1.712044616233399,54.4,0.3933
1975Q4,0.0,95.9,1.842751842751844,2.6517037282885347,1.845341957342983,3.787248157248156,31.617,1.3461407271895743e-05,109.402,6184.53,1.3470928953975836,54.9,0.4151
1976Q1,0.0,94.2,1.1459589867309772,3.555863908553869,-2.701282720612319,3.774041013269023,30.336,8.362006201549803e-05,108.64,6323.649,2.249467623247048,58.4,0.4646
1976Q2,0.0,94.2,0.8944543828264706,2.982346589652529,3.1365945852137145,4.2655456171735295,29.676,-3.496115720106061e-05,108.462,6370.025,0.7333740376798126,58.2,0.4586
1976Q3,0.0,94.1,1.5957446808510634,3.9192031479949208,2.5129691796337283,3.554255319148937,29.646,-7.006393022183633e-06,108.961,6404.895,0.5474075847426096,53.6,0.4525
1976Q4,0.0,94.7,1.4543339150668857,3.7002820188660968,3.997537582826638,3.2156660849331145,30.248,-2.7090246800977624e-05,108.957,6451.177,0.7226035711748402,56.6,0.4572
1977Q1,0.0,94.8,1.83486238532109,5.952548412810055,4.06920569043705,2.79513761467891,31.482,3.0658717336312946e-05,108.784,6527.703,1.1862331478426524,58.4,0.4117
1977Q2,0.0,95.9,1.745495495495497,4.554908946075709,4.579470026848664,3.0945045045045028,32.626,9.575237468424372e-05,108.779,6654.466,1.94192352194944,56.8,0.4129
1977Q3,0.0,96.2,1.3835085777531786,3.9220977111837696,3.516875243648032,4.116491422246821,33.615,5.9231691853480426e-05,108.324,6774.457,1.8031649722156429,53.9,0.3858
1977Q4,0.0,97.1,1.473799126637565,4.847799856429358,2.76246786208616,4.636200873362435,34.442,-4.7164990453088914e-05,109.712,6774.592,0.001992779642701,59.8,0.3645
1978Q1,0.0,97.1,1.7213555675094083,2.168096687886334,4.2259581523030665,4.668644432490591,35.19,-5.9623760193456986e-05,111.254,6796.26,0.319842139570925,55.0,0.3362
1978Q2,0.0,98.1,2.273929138022224,9.31152153455701,3.3240250547314165,4.206070861977777,36.021,0.0001235766350668,108.998,7058.92,3.864772683799611,60.5,0.3498
1978Q3,0.0,98.4,2.326783867631854,4.8148244767345805,4.031384837363383,4.983216132368145,37.015,-5.298624670314755e-06,108.946,7129.915,1.005748754767022,60.5,0.3635
1978Q4,0.0,98.5,2.3244062657908016,4.700255525320229,2.8079477787019247,6.245593734209199,38.168,1.342896509015251e-05,108.758,7225.75,1.3441254208500286,59.4,0.3364
1979Q1,0.0,97.8,2.51851851851852,3.879510148453069,4.378627965136106,6.861481481481481,40.134,-4.16688062734304e-05,110.772,7238.727,0.1795938137909569,57.7,0.3458
1979Q2,0.0,99.2,3.17919075144506,1.93481950456722,4.3912283287903975,6.200809248554941,42.09,-2.5556315367909125e-05,110.435,7246.454,0.1067452882254071,52.7,0.3366
1979Q3,0.0,100.0,3.221288515406173,5.118832033763865,3.597458668396536,6.448711484593827,44.643,-3.3003695935799544e-05,110.708,7300.281,0.7428046876444716,49.6,0.3448
1979Q4,0.0,100.6,3.165988240615114,2.3406383364952266,3.490654877865884,8.674011759384886,47.792,-1.9332279005003373e-05,111.472,7318.535,0.2500451694941619,44.8,0.3465
1980Q1,1.0,100.8,3.945637878123609,3.7457612381532,2.2338110291029167,9.40436212187639,52.682,-1.443830363737201e-05,111.222,7341.557,0.3145711539263018,43.6,0.3182
1980Q2,1.0,100.3,3.3741037536904277,-2.250456762600783,1.251284789688656,6.245896246309572,56.35,-8.296579394972479e-05,112.24,7190.289,-2.060434864157568,30.3,0.3458
1980Q3,0.0,100.8,1.8767849857201035,2.663401718898961,3.133361084767161,7.273215014279897,59.978,3.627399149426773e-05,112.849,7181.743,-0.1188547497882108,50.1,0.3746
1980Q4,0.0,101.4,2.8033640368442025,3.770193888050022,2.0992696720920634,10.806635963155797,63.577,7.155407116818826e-05,112.24,7315.677,1.8649233201466495,53.0,0.4009
1981Q1,0.0,100.0,2.7658745617452407,4.136057224901335,1.824182252825457,11.62412543825476,67.443,2.5505673717892086e-05,109.901,7459.022,1.9594222106853687,49.6,0.3893
1981Q2,0.0,100.2,2.084912812736905,3.9192288906337858,1.239842506078226,12.825087187263094,71.093,2.414642214263262e-07,111.008,7403.745,-0.7410757067079277,50.7,0.3679
1981Q3,1.0,99.5,2.784998143334572,3.780640171346983,0.9198970377496618,12.265001856665428,74.742,5.027775887665322e-05,110.118,7492.405,1.197502074963408,42.5,0.3124
1981Q4,1.0,99.4,1.6257225433526037,4.249732707692577,1.2244328445199404,10.124277456647397,78.377,-4.907694441666044e-05,111.09,7410.768,-1.0895967316235544,37.8,0.3269
1982Q1,1.0,99.7,0.8887308922858272,-0.8160684089690506,0.3736126348177659,11.921269107714174,81.982,-5.0906083857213454e-05,113.136,7295.631,-1.553644642498586,36.8,0.2916
1982Q2,1.0,100.6,1.444679351656064,-2.019255558912969,0.2101107476588204,10.975320648343937,83.928,1.978114013647765e-05,112.536,7328.912,0.456177128475943,38.3,0.2847
1982Q3,1.0,101.2,1.7367141368530792,-2.3078685955019607,0.0723497417925322,7.583285863146921,84.385,-1.708071111152919e-05,112.698,7300.896,-0.3822668357868153,38.8,0.3076
1982Q4,0.0,101.9,0.3072721065210171,-1.4828287274896712,0.6820307087588517,7.602727893478983,83.358,-5.0119941622461534e-05,112.145,7303.817,0.0400087879624644,42.8,0.3604
1983Q1,0.0,101.7,0.0680735194009463,-1.914359459793158,1.0583905128549451,8.041926480599052,81.517,3.326125427152971e-05,111.36,7400.066,1.317790410137598,53.9,0.3927
1983Q2,0.0,102.5,1.156462585034013,0.9932444987921674,1.2852830440619911,7.243537414965988,81.13,7.190493365861679e-05,109.523,7568.456,2.2755202453599743,57.5,0.4403
1983Q3,0.0,102.9,0.9751176866173772,4.075757935471613,1.369383234185273,8.164882313382623,82.464,5.127553576484582e-05,108.027,7719.746,1.99895460844326,62.5,0.431
1983Q4,0.0,103.4,0.9990009990010096,6.00053606765858,1.255808997081331,7.800999000998991,85.511,4.518020113813198e-05,108.1,7880.794,2.0861826282885465,69.9,0.4069
1984Q1,0.0,103.2,1.4177382129904492,3.182280374234025,1.156658368502539,7.752261787009551,90.317,8.772097044516805e-05,108.616,8034.847,1.9547903421914148,58.9,0.3789
1984Q2,0.0,104.4,0.942782834850453,4.8749139675057895,1.3208406680841556,8.857217165149548,93.658,2.2249879087413216e-06,108.167,8173.67,1.72776158649941,58.1,0.356
1984Q3,0.0,104.9,0.8695652173912993,3.0272823317382347,1.4885519489282295,9.4504347826087,95.663,-1.3485447362822953e-05,108.352,8252.465,0.9640100468944812,50.0,0.3696
1984Q4,0.0,106.6,0.8620689655172376,2.121591591808958,0.6966426349641619,7.937931034482763,96.325,1.0679353099158244e-05,108.545,8320.199,0.8207729448110435,50.6,0.365
1985Q1,0.0,107.6,0.9180120291231386,1.002017739092631,1.17251490893997,7.261987970876861,95.515,-1.0545203161739788e-05,108.367,8400.82,0.96897922754009,47.8,0.3929
1985Q2,0.0,109.2,0.9096612296110472,1.2641320086926644,2.186104465241589,6.550338770388953,95.863,-3.3680696506916166e-06,108.403,8474.787,0.8804735728179081,47.8,0.4078
1985Q3,0.0,110.4,0.6216972334472937,-1.0180391830738045,0.8620675359857,6.488302766552707,97.266,3.886055698964433e-05,107.834,8604.22,1.5272714228687922,49.9,0.3819
1985Q4,0.0,113.1,1.019462465245602,2.093427059120057,1.9045933299129287,6.150537534754398,99.727,-5.407180122356095e-05,109.192,8668.188,0.7434491447220193,50.7,0.4412
1986Q1,0.0,113.3,0.5198776758409851,-0.7996269322031568,1.9963885347933807,6.380122324159015,103.379,-8.38197208049775e-06,108.895,8749.127,0.9337476298391324,51.0,0.4884
1986Q2,0.0,115.0,-0.4867660480681324,-1.6911852814571082,1.9285540821116776,6.6267660480681325,106.288,-3.522084891172975e-05,109.212,8788.524,0.4502963552820649,50.5,0.5075
1986Q3,0.0,116.9,0.6114338122898078,-1.0334796784938205,2.2748690424072127,4.908566187710192,108.624,-1.4492843547069418e-05,109.951,8872.601,0.9566680366350556,52.4,0.4572
1986Q4,0.0,119.4,0.6988757216651376,0.6207840685160004,1.558618023536118,4.651124278334862,110.39,7.942943684222087e-06,111.226,8920.193,0.5363928796076722,50.5,0.5023
1987Q1,0.0,119.4,1.207000603500319,-3.310743852232312,3.235800619842477,4.332999396499681,111.739,2.426066087317301e-05,111.588,8986.367,0.7418449354178902,55.0,0.5978
1987Q2,0.0,121.1,1.1329755515802065,1.4017781499839232,2.205742757313533,4.527024448419794,113.888,5.338483494143872e-05,111.035,9083.256,1.0781776439800383,57.4,0.6079
1987Q3,0.0,122.0,1.0613207547169878,2.779445023312088,2.1693199633816995,4.978679245283012,116.977,4.588746872246684e-05,111.278,9162.024,0.8671780251486849,60.0,0.6345
1987Q4,0.0,122.7,0.933488914819125,1.271201287552648,1.990738600916897,4.926511085180875,120.998,-6.609035623894278e-06,111.148,9319.332,1.7169568645530875,61.0,0.4896
1988Q1,0.0,122.9,0.7803468208092523,-0.6797511654030419,1.548712485049908,4.939653179190747,126.748,3.287686641720503e-05,111.922,9367.502,0.5168825405082789,54.6,0.5104
1988Q2,0.0,123.9,1.1471178663607695,4.095505278754463,2.470365804069674,5.062882133639231,132.324,6.117382753258361e-06,111.969,9490.594,1.3140322788294911,59.3,0.5228
1988Q3,0.0,124.2,1.219166430394103,1.711401984253591,2.7466097994149674,5.790833569605897,138.364,6.2159330127701e-06,111.745,9546.206,0.5859696453140995,54.5,0.5042
1988Q4,0.0,124.9,1.092436974789912,2.545514367185797,2.4970205230614884,6.637563025210088,144.836,5.218031825945526e-05,111.038,9673.405,1.332456056364184,56.0,0.5158
