,Model 1,Model 2,Model 3,Model 4,Model 5
,Coefficients,Coefficients,Coefficients,Coefficients,Coefficients
CGDP_change,0.042399,0.086888,0.079989,0.085499,0.081628
,(0.172960),(0.176061),(0.179447),(0.174719),(0.176507)
CPIR,0.707364***,0.983832***,0.808460***,0.791329***,0.777475***
,(0.202932),(0.240571),(0.207844),(0.202895),(0.226464)
MA,-0.119652***,-0.119307***,-0.104121***,-0.111480***,-0.114589***
,(0.029152),(0.028246),(0.028935),(0.027837),(0.028634)
INVR,-16.089632*,-18.274907*,-20.033631**,-22.071476**,-19.815263**
,(9.780681),(9.530059),(9.754410),(9.699354),(9.253281)
HP_change,-0.418165**,-0.346102*,-0.427768**,-0.364731*,-0.363364*
,(0.196454),(0.206636),(0.211456),(0.195830),(0.195294)
IR_change,-0.311307*,,,,
,(0.178290),,,,
ROP,,0.003692*,,,
,,(0.002017),,,
IROR,,,-0.009269**,,
,,,(0.004490),,
LSOI_change,,,,0.136152,
,,,,(0.146244),
TOBQ,,,,,0.079679
,,,,,(0.494446)
Constant,4.036248***,3.186392**,3.158623**,3.644637***,3.729889***
,(1.394651),(1.361908),(1.401616),(1.346049),(1.347266)
,Marginal Effects,Marginal Effects,Marginal Effects,Marginal Effects,Marginal Effects
CGDP_change,0.004663,0.009599,0.008470,0.009564,0.009267
,(0.019038),(0.019479),(0.018984),(0.019553),(0.020052)
CPIR,0.077799***,0.108692***,0.085606***,0.088522***,0.088269***
,(0.020162),(0.023259),(0.018959),(0.019680),(0.023214)
MA,-0.013160***,-0.013181***,-0.011025***,-0.012471***,-0.013010***
,(0.002987),(0.002994),(0.002922),(0.003018),(0.003149)
INVR,-1.769615*,-2.018985**,-2.121327**,-2.469035**,-2.249690**
,(1.051700),(1.015292),(0.993499),(1.039570),(1.011978)
HP_change,-0.045992**,-0.038237*,-0.045296**,-0.040801*,-0.041254*
,(0.021037),(0.022472),(0.021826),(0.021482),(0.021716)
IR_change,-0.034239*,,,,
,(0.019524),,,,
ROP,,0.000408*,,,
,,(0.000224),,,
IROR,,,-0.000981**,,
,,,(0.000461),,
LSOI_change,,,,0.015231,
,,,,(0.016223),
TOBQ,,,,,0.009046
,,,,,(0.056137)
,Model Statistics,Model Statistics,Model Statistics,Model Statistics,Model Statistics
Observations,192.0,192.0,192.0,192.0,192.0
Pseudo R²,0.463046308329102,0.4640642247730379,0.4725136223306733,0.44614993371165035,0.44031904469525185
AIC,91.68632156148081,91.53904967302383,90.31659301457222,94.13088468138407,94.97449619973987
BIC,114.48878916567529,114.34151727721829,113.1190606187667,116.93335228557854,117.77696380393434
Log-Likelihood,-38.843160780740405,-38.76952483651191,-38.15829650728611,-40.06544234069204,-40.48724809986994
LLR p-value,1.688316069641998e-12,1.5751597787955716e-12,8.852829560957525e-13,5.333066808700168e-12,7.926727869007562e-12
Correct Recession (50%),0.5833333333333334,0.5,0.5,0.4583333333333333,0.4166666666666667
Correct Non-Recession (50%),0.9880952380952381,0.9821428571428571,0.9702380952380952,0.9821428571428571,0.9821428571428571
Correct Overall (50%),0.9375,0.921875,0.9114583333333334,0.9166666666666666,0.9114583333333334
Correct Recession (12.16%),0.8333333333333334,0.875,0.9583333333333334,0.9166666666666666,0.9166666666666666
Correct Non-Recession (12.16%),0.8273809523809523,0.8630952380952381,0.8571428571428571,0.8392857142857143,0.8511904761904762
Correct Overall (12.16%),0.828125,0.8645833333333334,0.8697916666666666,0.8489583333333334,0.859375
